,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3806,8,26.4,763,260247,2630829,0.66,2370582,8421,6.8,26.6,24.0,83.2,1.5
3807,8,27.0,745,260255,2631293,0.72,2371038,8423,4.7,27.0,24.2,80.8,1.8
3808,29,25.3,706,260284,2631293,0.74,2371009,8423,1.9,27.4,24.3,77.6,1.9
3809,19,24.1,686,260303,2631293,0.82,2370990,8423,0.7,27.5,24.4,76.6,2.0
3810,18,21.9,647,260321,2631293,0.78,2370972,8423,0.7,27.6,24.2,75.2,2.3
3811,20,19.1,608,260341,2631293,0.67,2370952,8423,0.7,27.6,24.1,73.7,2.4
3812,9,15.9,582,260350,2631293,0.58,2370943,8423,0.7,27.7,24.2,73.1,2.3
3813,5,15.4,575,260355,2631293,0.58,2370938,8423,0.6,27.8,24.2,72.6,2.4
3814,1,14.4,552,260356,2631757,0.53,2371401,8424,0.7,27.6,24.2,73.8,2.6
3815,11,11.9,500,260367,2631757,0.47,2371390,8424,2.8,27.6,24.1,74.4,2.3
3816,12,10.9,451,260379,2631757,0.45,2371378,8424,2.8,27.7,24.2,74.3,2.4
3817,8,9.4,415,260387,2631757,0.43,2371370,8424,2.8,27.7,24.3,74.3,2.3
3818,1,6.7,380,260388,2631757,0.35,2371369,8424,2.8,27.6,24.3,74.5,2.2
3819,8,6.6,349,260396,2631757,0.41,2371361,8424,3.7,27.2,24.1,75.5,2.4
3820,4,6.4,338,260400,2631757,0.42,2371357,8424,3.7,27.0,23.8,76.1,2.1
3821,2,6.6,336,260402,2632221,0.46,2371819,8426,3.6,27.0,23.7,75.5,2.0
3822,11,6.6,306,260413,2632221,0.55,2371808,8426,2.5,27.0,23.7,75.4,2.2
3823,14,6.9,293,260427,2632221,0.63,2371794,8426,2.5,26.9,23.8,75.7,2.1
3824,19,8.4,278,260446,2632221,0.89,2371775,8426,2.5,26.9,23.8,76.0,2.0
3825,10,9.7,249,260456,2632221,1.45,2371765,8426,2.5,27.0,23.9,75.8,2.1
3826,5,9.3,222,260461,2632221,1.41,2371760,8426,1.6,27.1,23.8,75.5,2.2
3827,3,9.1,217,260464,2632221,1.42,2371757,8426,1.6,27.1,23.9,74.9,2.1
3828,2,9.1,211,260466,2632685,1.39,2372219,8427,1.6,27.3,24.0,73.9,2.3
3829,16,9.9,198,260482,2632685,1.5,2372203,8427,0.0,27.3,24.1,72.8,2.3
3830,4,8.4,183,260486,2632685,1.23,2372199,8427,0.0,27.4,24.0,72.4,2.2
3831,6,6.6,171,260492,2632685,0.78,2372193,8427,0.0,27.4,24.1,71.6,2.5
3832,9,6.4,160,260501,2632685,0.66,2372184,8427,0.5,27.3,24.1,73.0,2.5
3833,6,6.6,157,260507,2632685,0.71,2372178,8427,0.9,27.2,24.3,73.8,2.2
3834,2,6.4,154,260509,2632685,0.7,2372176,8427,0.8,27.1,24.2,75.3,2.3
3835,2,6.4,155,260511,2633149,0.7,2372638,8429,1.2,26.9,24.2,76.7,2.1
3836,4,4.7,148,260515,2633149,0.48,2372634,8429,3.3,26.7,23.9,78.0,2.1
